"token_data","proto_data","gloss_data","uid_data"
"adi","PMP","no, not ","7326"
"adi","PWMP","no, not ","7326"
"adiRi","PCEMP","housepost ","4965"
"adiRi","PCMP","housepost ","4965"
"adiRi","PEMP","housepost ","4965"
"adiRi","PSHWNG","housepost ","4965"
"adom","POC","think, understand ","8041"
"adu","PWMP","compete, confront in a contest ","75"
"anduŋ","PMP","ancestors ","243"
"anduŋ","PWMP","ancestors ","243"
"anduŋ","PCEMP","ancestors ","243"
"anduŋ","PCMP","ancestors ","243"
"aduq","PMP","exclamation of pain, distress, etc. ","73"
"aduq","PWMP","exclamation of pain, distress, etc. ","73"
"aduq","PCEMP","exclamation of pain, distress, etc. ","73"
"aduq","PCMP","exclamation of pain, distress, etc. ","73"
"a(n)duq","PWMP","long, of objects ","6855"
"a-enem","PAN","six (of humans) ","2376"
"a-enem","PMP","six (of humans) ","2376"
"a-enem","PWMP","six (of humans) ","2376"
"a-epat","PMP","four (of humans) ","5180"
"a-epat","PWMP","four (of humans) ","5180"
"a-esa","PAN","one (of humans) ","2407"
"a-esa","PMP","one (of humans) ","2407"
"a-esa","PWMP","one (of humans) ","2407"
"agag","PWMP","a sieve; to sift ","12240"
"agam","PWMP","consider, think ","77"
"agas","PWMP","a tree: Aporosa spp. ","7997"
"agem","PWMP","hold, grip ","78"
"agem","PWMP","use, get use from ","79"
"agem","PWMP","overcast ","6739"
"agu","PMP","and, also ","80"
"agu","PWMP","and, also ","80"
"agu","PCEMP","and, also ","80"
"agu","PCMP","and, also ","80"
"agum-an","PPH","defend, protect one’s interests ","12095"
"ai","POC","anaphoric or relative particle: there, previously mentioned place ","82"
"ai","PAN","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","PMP","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","PWMP","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","PCEMP","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","PCMP","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","PEMP","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","POC","interjection, exclamation of surprise, incredulity, etc. ","83"
"ai","PAN","come ","7828"
"ai","PMP","come ","7828"
"ai","PWMP","come ","7828"
"ajan","PMP","name ","84"
"ajan","PWMP","name ","84"
"ajan","PCEMP","name ","84"
"ajan","PEMP","name ","84"
"ajek","PEMP","smell, sniff, kiss ","11884"
"ajek","PSHWNG","smell, sniff, kiss ","11884"
"ajem","PAN","heart; mind ","6619"
"ajiq","PWMP","exclamation of pain or surprise ","86"
"aka","PWMP","elder sibling ","9739"
"akak","PMP","cackling laughter ","87"
"akak","PWMP","cackling laughter ","87"
"akak","PCEMP","cackling laughter ","87"
"akak","PCMP","cackling laughter ","87"
"akaŋ","PWMP","take a long step, step over something ","9077"
"aka-ŋ","PWMP","elder sibling (vocative) ","9740"
"aka-q","PWMP","elder sibling (vocative) ","9741"
"akaR","PMP","root ","88"
"akaR","PWMP","root ","88"
"akaR","PCEMP","root ","88"
"akaR","PCMP","root ","88"
"akaR","PEMP","root ","88"
"akaR","POC","root ","88"
"aŋkat","PWMP","lift, raise, pick up ","396"
"aŋkat aŋkat","PWMP","hold up, keep aloft ","405"
"aŋkat-an","PWMP","lift, raise up ","404"
"aŋkás","PPH","to ride together with someone else, ride tandem ","12183"
"ake","POC","tree sp. ","6725"
"aŋkeb","PWMP","covering, lid ","406"
"aken","PAN","1sg oblique ","7960"
"aken","PMP","1sg oblique ","7960"
"aken","PWMP","1sg oblique ","7960"
"akerahaq","PMP","cry of a monkey ","89"
"akerahaq","PWMP","cry of a monkey ","89"
"akerahaq","PCEMP","cry of a monkey ","89"
"akerahaq","PCMP","cry of a monkey ","89"
"aki","PAN","grandfather, ancestor ","6552"
"a(ŋ)kit","PMP","bite ","417"
"a(ŋ)kit","PWMP","bite ","417"
"a(ŋ)kit","PCEMP","bite ","417"
"a(ŋ)kit","PCMP","bite ","417"
"aku","PAN","1sg nominative; I ","90"
"aku","PMP","1sg nominative; I ","90"
"aku","PWMP","1sg nominative; I ","90"
"aku","PCEMP","1sg nominative; I ","90"
"aku","PCMP","1sg nominative; I ","90"
"aku","PEMP","1sg nominative; I ","90"
"aku","PSHWNG","1sg nominative; I ","90"
"aku","POC","1sg nominative; I ","90"
"aŋkub","PMP","cover ","407"
"aŋkub","PWMP","cover ","407"
"aŋkub","PCEMP","cover ","407"
"aŋkub","PEMP","cover ","407"
"aku-en","PWMP","acknowledge; receive, accept ","91"
"akup","POC","cover ","408"
"aŋkup","PWMP","scoop up with both hands; a double handful ","409"
"ala","PAN","take, get, fetch, obtain; marry ","118"
"ala","PMP","take, get, fetch, obtain; marry ","118"
"ala","PWMP","take, get, fetch, obtain; marry ","118"
"ala","PCEMP","take, get, fetch, obtain; marry ","118"
"ala","PCMP","take, get, fetch, obtain; marry ","118"
"ala","PEMP","take, get, fetch, obtain; marry ","118"
"ala","POC","take, get, fetch, obtain; marry ","118"
"alabat","PPH","fence, wall ","12096"
"ala-en","PAN","be taken ","7768"
"ala-en","PMP","be taken ","7768"
"ala-en","PWMP","be taken ","7768"
"alagaq","PWMP","kind of large red tree ant with bad bite ","11496"
"alagád","PPH","to wait ","319"
"alali","POC","halibut, sole, flounder ","10359"
"alaŋ-alaŋ","PWMP","insufficient, half-heartedly ","8700"
"alap","PAN","fetch, get, take ","96"
"alap","PMP","fetch, get, take ","96"
"alap","PWMP","fetch, get, take ","96"
"alap","PCEMP","fetch, get, take ","96"
"alap","PEMP","fetch, get, take ","96"
"alap","POC","fetch, get, take ","96"
"alap-an","PWMP","what is taken (?) ","106"
"alap-en","PWMP","fetch, get, take ","107"
"alaq","PAN","fetch, get, take ","108"
"alaq","PMP","fetch, get, take ","108"
"alaq","PWMP","fetch, get, take ","108"
"alaq","PCEMP","fetch, get, take ","108"
"alaq","PCMP","fetch, get, take ","108"
"alaq","PEMP","fetch, get, take ","108"
"alaq","PSHWNG","fetch, get, take ","108"
"alaq","POC","fetch, get, take ","108"
"alaq","PWMP","defeat ","115"
"alaq","PWMP","resemble ","119"
"alaq-en","PAN","be taken ","114"
"alaq-en","PMP","be taken ","114"
"alaq-en","PWMP","be taken ","114"
"alawid","PWMP","far ","6836"
"alem","PMP","dark, night ","11511"
"alem","PWMP","dark, night ","11511"
"alem","PCEMP","dark, night ","11511"
"alem","PCMP","dark, night ","11511"
"alik-qabuk","PPH","dust ","4109"
"alim","PAN","forget ","7144"
"alinaw","PPH","shadow ","122"
"aliq","PMP","move, change place ","123"
"aliq","PWMP","move, change place ","123"
"aliq","PCEMP","move, change place ","123"
"aliq","PEMP","move, change place ","123"
"aliq","POC","move, change place ","123"
"alis-an","PPH","(gloss uncertain) ","11067"
"aliten","PWMP","firebrand; unconsumed wood in a fire; charred wood ","124"
"alílaq","PPH","to care for someone, wait on ","11683"
"alís","PPH","to leave, depart ","11066"
"alub","PWMP","put in or over a fire ","125"
"aluca","POC","to paddle ","12089"
"alud","PWMP","type of canoe ","8702"
"aluja","PAN","to paddle ","126"
"aluja","PMP","to paddle ","126"
"aluja","PWMP","to paddle ","126"
"aluja","PCEMP","to paddle ","126"
"aluja","PEMP","to paddle ","126"
"alujah","PAN","ant sp. ","7226"
"aluluŋ","PMP","to howl, of dogs ","11483"
"aluluŋ","PWMP","to howl, of dogs ","11483"
"aluluŋ","PCEMP","to howl, of dogs ","11483"
"aluluŋ","PEMP","to howl, of dogs ","11483"
"aluluŋ","POC","to howl, of dogs ","11483"
"aluŋ","PMP","shade, shadow ","129"
"aluŋ","PWMP","shade, shadow ","129"
"aluŋ","PCEMP","shade, shadow ","129"
"aluŋ","PCMP","shade, shadow ","129"
"aluŋ","PEMP","shade, shadow ","129"
"aluŋ","POC","shade, shadow ","129"
"aluten","PMP","burning brand; charred or smoldering wood ","7793"
"aluten","PWMP","burning brand; charred or smoldering wood ","7793"
"aluten","PCEMP","burning brand; charred or smoldering wood ","7793"
"aluten","PCMP","burning brand; charred or smoldering wood ","7793"
"aluten","PEMP","burning brand; charred or smoldering wood ","7793"
"aluten","PSHWNG","burning brand; charred or smoldering wood ","7793"
"aluton","POC","firewood ","12090"
"ama ama","PWMP","stepfather ","151"
"ama-an","PWMP","(gloss uncertain) ","146"
"ama-en","PWMP","uncle ","147"
"ama-i","PMP","father (voc.) ","150"
"ama-i","PWMP","father (voc.) ","150"
"ama-i","PCEMP","father (voc.) ","150"
"ama-i","PCMP","father (voc.) ","150"
"amak","PWMP","mat ","130"
"amaŋ amaŋ","PWMP","dare to do something ","152"
"amaq","PWMP","to eat ","131"
"ama-q","PMP","father (voc.) ","149"
"ama-q","PWMP","father (voc.) ","149"
"ama-q","PCEMP","father (voc.) ","149"
"ama-q","PCMP","father (voc.) ","149"
"amaq-an","PWMP","eating place (?) ","132"
"amaRa","PWMP","tree sp. ","133"
"amat","PWMP","continuous, unceasing ","11861"
"amatu","POC","double-headed parrotfish ","10288"
"amax","PAN","father ","134"
"amax","PMP","father ","134"
"amax","PWMP","father ","134"
"amax","PCEMP","father ","134"
"amax","PCMP","father ","134"
"amax","PEMP","father ","134"
"amax","POC","father ","134"
"amá-ŋ","PMP","father (voc.) ","148"
"amá-ŋ","PWMP","father (voc.) ","148"
"amá-ŋ","PCEMP","father (voc.) ","148"
"amá-ŋ","PCMP","father (voc.) ","148"
"amen","PAN","1pl ex oblique ","7962"
"amen","PMP","1pl ex oblique ","7962"
"amen","PWMP","1pl ex oblique ","7962"
"ameq","PWMP","1pl ex oblique ","7963"
"ami","PAN","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","PMP","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","PWMP","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","PCEMP","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","PCMP","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","PEMP","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","PSHWNG","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"ami","POC","1pl. excl. nominative pronoun, we (exclusive) ","9702"
"amiaŋ","PWMP","any plant with hairs that sting or cause itchiness ","165"
"amin","PAN","all; finished ","180"
"amin","PMP","all; finished ","180"
"amin","PWMP","all; finished ","180"
"amu","PAN","2pl. nominative pronoun ","9708"
"amu","PMP","2pl. nominative pronoun ","9708"
"amu","PWMP","2pl. nominative pronoun ","9708"
"-an","PAN","verbal suffix marking locative focus; nominal suffix marking location ","254"
"-an","PMP","verbal suffix marking locative focus; nominal suffix marking location ","254"
"-an","PWMP","verbal suffix marking locative focus; nominal suffix marking location ","254"
"-an","PCEMP","verbal suffix marking locative focus; nominal suffix marking location ","254"
"-an","PEMP","verbal suffix marking locative focus; nominal suffix marking location ","254"
"-an","POC","verbal suffix marking locative focus; nominal suffix marking location ","254"
"anabu","PWMP","shrub or small tree: Abroma augusta L. ","181"
"anaduq","PMP","long (of objects) ","182"
"anaduq","PWMP","long (of objects) ","182"
"anaduq","PCEMP","long (of objects) ","182"
"anaduq","PCMP","long (of objects) ","182"
"anak","PMP","child, offspring; son, daughter; brother's child (man speaking), sister's child (woman speaking); young animal or plant; young; small (for its kind); dependent or component part of something larger; native, resident, inhabitant; interest on a loan ","184"
"anak","PWMP","child, offspring; son, daughter; brother's child (man speaking), sister's child (woman speaking); young animal or plant; young; small (for its kind); dependent or component part of something larger; native, resident, inhabitant; interest on a loan ","184"
"anak","PCEMP","child, offspring; son, daughter; brother's child (man speaking), sister's child (woman speaking); young animal or plant; young; small (for its kind); dependent or component part of something larger; native, resident, inhabitant; interest on a loan ","184"
"anak","PCMP","child, offspring; son, daughter; brother's child (man speaking), sister's child (woman speaking); young animal or plant; young; small (for its kind); dependent or component part of something larger; native, resident, inhabitant; interest on a loan ","184"
"anak a ma-iRaq","PMP","neonate (lit. 'red child') ","218"
"anak a ma-iRaq","PWMP","neonate (lit. 'red child') ","218"
"anak a ma-iRaq","PCEMP","neonate (lit. 'red child') ","218"
"anak a ma-iRaq","PCMP","neonate (lit. 'red child') ","218"
"anak a qulu","PMP","first-born, eldest child (lit. 'head child') ","219"
"anak a qulu","PWMP","first-born, eldest child (lit. 'head child') ","219"
"anak a qulu","PCEMP","first-born, eldest child (lit. 'head child') ","219"
"anak a qulu","PCMP","first-born, eldest child (lit. 'head child') ","219"
"anak anak","PWMP","small child ","211"
"anak anak-an","PWMP","doll (?) ","212"
"anak apij","PMP","twin ","213"
"anak apij","PWMP","twin ","213"
"anak apij","PCEMP","twin ","213"
"anak apij","PCMP","twin ","213"
"anak bahi, anak babahi, anak binahi","PMP","wife-taking lineage ","214"
"anak bahi, anak babahi, anak binahi","PWMP","wife-taking lineage ","214"
"anak bahi, anak babahi, anak binahi","PCEMP","wife-taking lineage ","214"
"anak bahi, anak babahi, anak binahi","PCMP","wife-taking lineage ","214"
"anak buaq","PMP","relative (?) ","215"
"anak buaq","PWMP","relative (?) ","215"
"anak buaq","PCEMP","relative (?) ","215"
"anak buaq","PCMP","relative (?) ","215"
"anak daRa","PWMP","maiden, virgin, girl of marriageable age ","216"
"anak i banua","PMP","fellow villager, fellow community-member ","220"
"anak i banua","PWMP","fellow villager, fellow community-member ","220"
"anak i banua","PCEMP","fellow villager, fellow community-member ","220"
"anak i banua","PCMP","fellow villager, fellow community-member ","220"
"anak i batu","PMP","small stones, gravel ","221"
"anak i batu","PWMP","small stones, gravel ","221"
"anak i batu","PCEMP","small stones, gravel ","221"
"anak i batu","PCMP","small stones, gravel ","221"
"anak i hapuy","PWMP","sparks of fire ","222"
"anak i haRezan","PWMP","step or rung of a ladder ","223"
"anak i kahiw","PMP","young tree, sprout ","224"
"anak i kahiw","PWMP","young tree, sprout ","224"
"anak i kahiw","PCEMP","young tree, sprout ","224"
"anak i kahiw","PCMP","young tree, sprout ","224"
"anak i lesuŋ","PMP","rice pestle ","225"
"anak i lesuŋ","PWMP","rice pestle ","225"
"anak i lesuŋ","PCEMP","rice pestle ","225"
"anak i lesuŋ","PCMP","rice pestle ","225"
"anak i lima","PMP","little finger, pinkie ","226"
"anak i lima","PWMP","little finger, pinkie ","226"
"anak i lima","PCEMP","little finger, pinkie ","226"
"anak i lima","PCMP","little finger, pinkie ","226"
"anak i manuk","PMP","chick, baby chicken ","227"
"anak i manuk","PWMP","chick, baby chicken ","227"
"anak i manuk","PCEMP","chick, baby chicken ","227"
"anak i manuk","PCMP","chick, baby chicken ","227"
"anak i mata","PMP","pupil of the eye ","228"
"anak i mata","PWMP","pupil of the eye ","228"
"anak i mata","PCEMP","pupil of the eye ","228"
"anak i mata","PCMP","pupil of the eye ","228"
"anak i panaq","PMP","arrow ","229"
"anak i panaq","PWMP","arrow ","229"
"anak i panaq","PCEMP","arrow ","229"
"anak i panaq","PCMP","arrow ","229"
"anak i qaRta","PMP","slave (?) ","230"
"anak i qaRta","PWMP","slave (?) ","230"
"anak i qaRta","PCEMP","slave (?) ","230"
"anak i qaRta","PCMP","slave (?) ","230"
"anak i sumpit","PMP","blowpipe dart ","231"
"anak i sumpit","PWMP","blowpipe dart ","231"
"anak i sumpit","PCEMP","blowpipe dart ","231"
"anak i sumpit","PCMP","blowpipe dart ","231"
"anak i tau","PMP","someone else's child ","232"
"anak i tau","PWMP","someone else's child ","232"
"anak i tau","PCEMP","someone else's child ","232"
"anak i tau","PCMP","someone else's child ","232"
"anak ma-Ruqanay, anak (la)laki","PMP","wife-giving lineage ","217"
"anak ma-Ruqanay, anak (la)laki","PWMP","wife-giving lineage ","217"
"anak ma-Ruqanay, anak (la)laki","PCEMP","wife-giving lineage ","217"
"anak ma-Ruqanay, anak (la)laki","PCMP","wife-giving lineage ","217"
"anak nu dilaq","PWMP","uvula ","7134"
"anak nu mata","PMP","pupil of the eye (‘child of the eye’) ","8613"
"anak nu mata","PWMP","pupil of the eye (‘child of the eye’) ","8613"
"anak nu mata","PCEMP","pupil of the eye (‘child of the eye’) ","8613"
"anak nu mata","PCMP","pupil of the eye (‘child of the eye’) ","8613"
"anak-an","PWMP","give birth ","209"
"anak-en","PWMP","brother's child (man speaking), sister's child (woman speaking) ","210"
"anam","PPH","a plant: Glochidion spp. ","11068"
"a-nan","PWMP","that ","3647"
"an-anak","PMP","child ","187"
"an-anak","PWMP","child ","187"
"an-anak","PCEMP","child ","187"
"an-anak","PCMP","child ","187"
"ananay","PPH","exclamation of pain; ouch! ","11069"
"ananay","PPH","go or do something slowly, take one’s time ","11070"
"anaŋ","PWMP","dehortatory exclamation ","238"
"ana<ŋa>ican","POC","when? (past) ","2828"
"anapiŋ","PWMP","cheek ","233"
"anay-en","PWMP","eaten by termites, damaged by termites ","237"
"anayup","PPH","beautyberry: Callicarpa spp. ","11071"
"ane","POC","insect of the order Isoptera: termite, white ant ","235"
"aniŋal","PMP","echo ","245"
"aniŋal","PWMP","echo ","245"
"aniŋal","PCEMP","echo ","245"
"aniŋal","PCMP","echo ","245"
"anipa","PMP","large snake sp. ","244"
"anipa","PWMP","large snake sp. ","244"
"anipa","PCEMP","large snake sp. ","244"
"anipa","PCMP","large snake sp. ","244"
"ansaw","PWMP","roam about ","246"
"a-nu","PMP","thing whose name is unknown, avoided, or cannot be remembered: what? ","3688"
"a-nu","PWMP","thing whose name is unknown, avoided, or cannot be remembered: what? ","3688"
"a-nu","PCEMP","thing whose name is unknown, avoided, or cannot be remembered: what? ","3688"
"a-nu","PCMP","thing whose name is unknown, avoided, or cannot be remembered: what? ","3688"
"anu-anu","PWMP","thing of uncertainty ","3706"
"anu-en","PPH","how?  In what way? ","3705"
"a-nu-ku","PMP","my unnamed thing: mine ","3694"
"a-nu-ku","PWMP","my unnamed thing: mine ","3694"
"anu-ku","POC","my unnamed thing: mine ","3695"
"anuliŋ","PMP","a fruit-bearing plant: Pisonia umbellifera ","251"
"anuliŋ","PWMP","a fruit-bearing plant: Pisonia umbellifera ","251"
"anuliŋ","PCEMP","a fruit-bearing plant: Pisonia umbellifera ","251"
"anuliŋ","PCMP","a fruit-bearing plant: Pisonia umbellifera ","251"
"anuliŋ","PEMP","a fruit-bearing plant: Pisonia umbellifera ","251"
"anuliŋ","POC","a fruit-bearing plant: Pisonia umbellifera ","251"
"a-nu-mu","PMP","your unnamed thing: yours ","3696"
"a-nu-mu","PWMP","your unnamed thing: yours ","3696"
"anu-mu","POC","your unnamed thing: yours ","3697"
"a-nu-ni a","PMP","his/her unnamed thing: his/hers ","3698"
"a-nu-ni a","PWMP","his/her unnamed thing: his/hers ","3698"
"anu-ña","POC","his/her unnamed thing: his/hers ","3699"
"a-nusa","POC","small island, islet ","7055"
"aNak","PAN","child, offspring; son, daughter; interest on a loan ","183"
"aN-aNak","PAN","child ","186"
"aNay","PAN","insect of the order Isoptera: termite, white ant ","234"
"aNay","PMP","insect of the order Isoptera: termite, white ant ","234"
"aNay","PWMP","insect of the order Isoptera: termite, white ant ","234"
"aNay","PCEMP","insect of the order Isoptera: termite, white ant ","234"
"aNay","PCMP","insect of the order Isoptera: termite, white ant ","234"
"aNay","PEMP","insect of the order Isoptera: termite, white ant ","234"
"añam","PMP","plait (mats, baskets, etc.) ","388"
"añam","PWMP","plait (mats, baskets, etc.) ","388"
"añam","PCEMP","plait (mats, baskets, etc.) ","388"
"añam","PCMP","plait (mats, baskets, etc.) ","388"
"añam","PEMP","plait (mats, baskets, etc.) ","388"
"añam","PSHWNG","plait (mats, baskets, etc.) ","388"
"añam","POC","plait (mats, baskets, etc.) ","388"
"añam-en","PWMP","what has been plaited or woven ","391"
"añem","PMP","plait, braid ","394"
"añem","PWMP","plait, braid ","394"
"añem","PCEMP","plait, braid ","394"
"añem","PCMP","plait, braid ","394"
"aŋaŋ","PPH","large earthenware jar ","12203"
"aŋaq","PMP","open the mouth wide ","392"
"aŋaq","PWMP","open the mouth wide ","392"
"aŋaq","PCEMP","open the mouth wide ","392"
"aŋaq","PCMP","open the mouth wide ","392"
"aŋas","PPH","face, countenance ","11086"
"aŋat","PWMP","to challenge, confront ","393"
"aŋay","PAN","departure (?) ","9146"
"aŋay","PMP","departure (?) ","9146"
"aŋay","PWMP","departure (?) ","9146"
"aŋáy","PPH","to fit, match, be suitable ","12204"
"aŋ(e)cej","PWMP","stench of sweaty armpits ","414"
"aŋ(e)ceŋ","PWMP","stench of sweaty armpits ","415"
"aŋ(e)hud","PWMP","young ","413"
"aŋ(e)lem","PMP","stench ","416"
"aŋ(e)lem","PWMP","stench ","416"
"aŋ(e)lem","PCEMP","stench ","416"
"aŋ(e)lem","PEMP","stench ","416"
"aŋ(ə)tad","PPH","in the line of sight, clearly visible ","8709"
"a(ŋ)gap","PWMP","think carefully about, consider ","11324"
"aŋi","PWMP","aromatic odor ","395"
"aŋin","POC","wind ","2617"
"aŋin-aŋin","POC","gust, draft, current of air ","2627"
"aŋit","POC","anger ","2629"
"aŋo","POC","turmeric: Curcuma longa ","10360"
"aŋo-aŋo-ana","POC","yellow ","10361"
"aŋom","POC","stench ","12111"
"aŋu aŋu","PWMP","silly, senile, doting ","412"
"aŋusu","POC","to spit; spittle ","6979"
"apa apa","PMP","something; anything; everything ","260"
"apa apa","PWMP","something; anything; everything ","260"
"apa apa","PCEMP","something; anything; everything ","260"
"apa apa","PCMP","something; anything; everything ","260"
"apa apa","PEMP","something; anything; everything ","260"
"apa apa","POC","something; anything; everything ","260"
"NEG + apa apa","PWMP","nothing ","261"
"apa","PMP","what? ","256"
"apa","PWMP","what? ","256"
"apa","PCEMP","what? ","256"
"apa","PCMP","what? ","256"
"apa","PEMP","what? ","256"
"apa","POC","what? ","256"
"apa","PAN","carry on the back ","6553"
"apa-i","PMP","what?  which? ","259"
"apa-i","PWMP","what?  which? ","259"
"apa-i","PCEMP","what?  which? ","259"
"apa-i","PCMP","what?  which? ","259"
"ampal","PWMP","beetle sp. ","166"
"apaqpaq","PWMP","armpit, crotch ","255"
"apat","PPH","lie in wait, set an ambush in hunting game ","11684"
"apatut","PPH","small tree, probably Morinda citrifolia Linn. ","11145"
